5788026014619194|04|28|788
5788969982787007|11|32|788
5788832632212518|06|25|788
5788876960612187|03|32|788
5788153956652214|10|32|788
5788500279770864|08|28|788
5788952956571010|10|26|788
5788900979473866|12|34|788
5788442135738301|06|30|788
5788478447502441|01|31|788
5788939554164184|06|27|788
5788988306179020|12|34|788
5788119245435030|07|33|788
5788257310686028|03|33|788
5788115162715641|04|31|788
5788550834409297|04|34|788
5788641079507010|05|33|788
5788542496795326|09|33|788
5788435143391423|02|29|788
5788270019609417|04|28|788
5788381154422098|11|33|788
5788630699476344|06|30|788
5788074490998054|09|29|788
5788690511669888|03|34|788
5788019093993748|10|28|788
5788090914290428|01|30|788
5788997527791715|02|27|788
5788382612002513|04|29|788
5788978509142709|03|28|788
5788218870821587|01|33|788
5788910869112711|11|25|788
5788465068034930|09|33|788
5788572023760434|06|33|788
5788297923211053|07|26|788
5788073411945960|04|34|788
5788691627204524|04|33|788
5788422118623762|02|29|788
5788955494406931|07|30|788
5788333923150001|01|30|788
5788465398754981|03|28|788
5788857425764250|03|28|788
5788254272813678|01|32|788
5788236962923123|04|34|788
5788022811011855|01|26|788
5788043640726450|01|32|788
5788719440550955|01|33|788
5788914307771633|07|33|788
5788036505207541|06|32|788
5788959915785608|12|33|788
5788251876237318|02|30|788
5788185117146125|09|32|788
5788543954258541|07|32|788
5788898934397027|07|32|788
5788037092348414|04|31|788
5788146239799923|11|26|788
5788569194384134|08|27|788
5788718047033401|07|32|788
5788722480042939|07|28|788
5788652763197045|07|31|788
5788660525185646|02|25|788
5788240951510220|06|29|788
5788758549351137|12|28|788
5788119043874228|11|34|788
5788065446905001|12|26|788
5788980723446911|08|29|788
5788589177848961|04|30|788
5788385089081821|06|31|788
5788561889405791|11|25|788
5788010748809075|12|30|788
5788256669940862|02|29|788
5788563914015778|07|29|788
5788342577737249|12|31|788
5788210957287221|11|27|788
5788947277790473|10|34|788
5788836384049243|06|32|788
5788814533540024|01|27|788
5788721025296967|01|29|788
5788627010554887|07|33|788
5788310482244546|11|31|788
5788574230385129|02|30|788
5788700883176245|07|31|788
5788705291970029|10|29|788
5788780793545488|10|33|788
5788089973860728|06|28|788
5788129110686086|04|35|788
5788360661960778|11|34|788
5788420053454018|06|28|788
5788001386435909|03|33|788
5788927226937590|03|25|788
5788383774893727|02|25|788
5788432472161659|02|34|788
5788037437526424|11|26|788
5788766058546085|12|33|788
5788485817280573|06|30|788
5788381868987890|05|26|788
5788166673442058|10|33|788
5788866214995284|06|31|788
5788321340512385|12|27|788
5788758951815511|11|35|788
5788796457177557|02|25|788
